,meter_reading,hour,minute,day,month,year
154,986226.0,14,45,2,8,2023
155,986239.0,15,0,2,8,2023
156,986248.0,15,15,2,8,2023
157,986258.0,15,30,2,8,2023
158,986271.0,15,45,2,8,2023
159,986281.0,16,0,2,8,2023
160,986291.0,16,15,2,8,2023
161,986302.0,16,30,2,8,2023
162,986311.0,16,45,2,8,2023
163,986318.0,17,0,2,8,2023
164,986324.0,17,15,2,8,2023
165,986331.0,17,30,2,8,2023
166,986338.0,17,45,2,8,2023
167,986345.0,18,0,2,8,2023
168,986352.0,18,15,2,8,2023
169,986359.0,18,30,2,8,2023
170,986367.0,18,45,2,8,2023
171,986373.0,19,0,2,8,2023
172,986381.0,19,15,2,8,2023
173,986388.0,19,30,2,8,2023
174,986396.0,19,45,2,8,2023
175,986403.0,20,0,2,8,2023
176,986410.0,20,15,2,8,2023
177,986415.0,20,30,2,8,2023
178,986420.0,20,45,2,8,2023
179,986426.0,21,0,2,8,2023
180,986432.0,21,15,2,8,2023
181,986440.0,21,30,2,8,2023
182,986446.0,21,45,2,8,2023
183,986451.0,22,0,2,8,2023
184,986456.0,22,15,2,8,2023
185,986460.0,22,30,2,8,2023
186,986465.0,22,45,2,8,2023
187,986470.0,23,0,2,8,2023
188,986478.0,23,15,2,8,2023
189,986484.0,23,30,2,8,2023
190,986489.0,23,45,2,8,2023
191,986494.0,0,0,3,8,2023
192,986499.0,0,15,3,8,2023
193,986504.0,0,30,3,8,2023
194,986508.0,0,45,3,8,2023
195,986514.0,1,0,3,8,2023
196,986520.0,1,15,3,8,2023
197,986527.0,1,30,3,8,2023
198,986532.0,1,45,3,8,2023
199,986537.0,2,0,3,8,2023
200,986541.0,2,15,3,8,2023
201,986546.0,2,30,3,8,2023
202,986550.0,2,45,3,8,2023
203,986555.0,3,0,3,8,2023
204,986561.0,3,15,3,8,2023
205,986567.0,3,30,3,8,2023
206,986573.0,3,45,3,8,2023
207,986577.0,4,0,3,8,2023
208,986583.0,4,15,3,8,2023
209,986587.0,4,30,3,8,2023
210,986592.0,4,45,3,8,2023
211,986596.0,5,0,3,8,2023
212,986601.0,5,15,3,8,2023
213,986606.0,5,30,3,8,2023
214,986612.0,5,45,3,8,2023
215,986619.0,6,0,3,8,2023
216,986624.0,6,15,3,8,2023
217,986630.0,6,30,3,8,2023
218,986635.0,6,45,3,8,2023
219,986641.0,7,0,3,8,2023
220,986647.0,7,15,3,8,2023
221,986654.0,7,30,3,8,2023
222,986662.0,7,45,3,8,2023
223,986673.0,8,0,3,8,2023
224,986683.0,8,15,3,8,2023
225,986692.0,8,30,3,8,2023
226,986701.0,8,45,3,8,2023
227,986709.0,9,0,3,8,2023
228,986718.0,9,15,3,8,2023
229,986729.0,9,30,3,8,2023
230,986741.0,9,45,3,8,2023
231,986753.0,10,0,3,8,2023
232,986763.0,10,15,3,8,2023
233,986773.0,10,30,3,8,2023
234,986782.0,10,45,3,8,2023
235,986789.0,11,0,3,8,2023
236,986800.0,11,15,3,8,2023
237,986810.0,11,30,3,8,2023
238,986819.0,11,45,3,8,2023
239,986833.0,12,0,3,8,2023
240,986843.0,12,15,3,8,2023
241,986853.0,12,30,3,8,2023
242,986863.0,12,45,3,8,2023
243,986873.0,13,0,3,8,2023
244,986886.0,13,15,3,8,2023
245,986896.0,13,30,3,8,2023
246,986906.0,13,45,3,8,2023
247,986916.0,14,0,3,8,2023
248,986928.0,14,15,3,8,2023
249,986939.0,14,30,3,8,2023
250,986948.0,14,45,3,8,2023
251,986962.0,15,0,3,8,2023
252,986972.0,15,15,3,8,2023
253,986985.0,15,30,3,8,2023
254,986997.0,15,45,3,8,2023
255,987006.0,16,0,3,8,2023
256,987016.0,16,15,3,8,2023
257,987026.0,16,30,3,8,2023
258,987035.0,16,45,3,8,2023
259,987042.0,17,0,3,8,2023
260,987049.0,17,15,3,8,2023
261,987055.0,17,30,3,8,2023
262,987063.0,17,45,3,8,2023
263,987069.0,18,0,3,8,2023
264,987076.0,18,15,3,8,2023
265,987083.0,18,30,3,8,2023
266,987091.0,18,45,3,8,2023
267,987097.0,19,0,3,8,2023
268,987104.0,19,15,3,8,2023
269,987112.0,19,30,3,8,2023
270,987119.0,19,45,3,8,2023
271,987127.0,20,0,3,8,2023
272,987132.0,20,15,3,8,2023
273,987137.0,20,30,3,8,2023
274,987142.0,20,45,3,8,2023
275,987149.0,21,0,3,8,2023
276,987155.0,21,15,3,8,2023
277,987162.0,21,30,3,8,2023
278,987168.0,21,45,3,8,2023
279,987173.0,22,0,3,8,2023
